,work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size,salary_in_usd
289,2022,SE,FT,Data Engineer,135000,USD,US,100,US,M,135000
290,2022,SE,FT,Data Analyst,155000,USD,US,100,US,M,155000
291,2022,SE,FT,Data Analyst,120600,USD,US,100,US,M,120600
292,2022,MI,FT,Data Scientist,130000,USD,US,0,US,M,130000
293,2022,MI,FT,Data Scientist,90000,USD,US,0,US,M,90000
294,2022,MI,FT,Data Engineer,170000,USD,US,100,US,M,170000
295,2022,MI,FT,Data Engineer,150000,USD,US,100,US,M,150000
296,2022,SE,FT,Data Analyst,102100,USD,US,100,US,M,102100
297,2022,SE,FT,Data Analyst,84900,USD,US,100,US,M,84900
298,2022,SE,FT,Data Scientist,136620,USD,US,100,US,M,136620
299,2022,SE,FT,Data Scientist,99360,USD,US,100,US,M,99360
300,2022,SE,FT,Data Scientist,90000,GBP,GB,0,GB,M,105300
301,2022,SE,FT,Data Scientist,80000,GBP,GB,0,GB,M,93600
302,2022,SE,FT,Data Scientist,146000,USD,US,100,US,M,146000
303,2022,SE,FT,Data Scientist,123000,USD,US,100,US,M,123000
304,2022,EN,FT,Data Engineer,40000,GBP,GB,100,GB,M,46800
305,2022,SE,FT,Data Analyst,99000,USD,US,0,US,M,99000
306,2022,SE,FT,Data Analyst,116000,USD,US,0,US,M,116000
307,2022,MI,FT,Data Analyst,106260,USD,US,0,US,M,106260
308,2022,MI,FT,Data Analyst,126500,USD,US,0,US,M,126500
309,2022,EX,FT,Data Engineer,242000,USD,US,100,US,M,242000
310,2022,EX,FT,Data Engineer,200000,USD,US,100,US,M,200000
311,2022,MI,FT,Data Scientist,50000,GBP,GB,0,GB,M,58500
312,2022,MI,FT,Data Scientist,30000,GBP,GB,0,GB,M,35100
313,2022,MI,FT,Data Engineer,60000,GBP,GB,0,GB,M,70200
314,2022,MI,FT,Data Engineer,40000,GBP,GB,0,GB,M,46800
315,2022,SE,FT,Data Scientist,165220,USD,US,100,US,M,165220
316,2022,EN,FT,Data Engineer,35000,GBP,GB,100,GB,M,40950
317,2022,SE,FT,Data Scientist,120160,USD,US,100,US,M,120160
318,2022,SE,FT,Data Analyst,90320,USD,US,100,US,M,90320
319,2022,SE,FT,Data Engineer,181940,USD,US,0,US,M,181940
320,2022,SE,FT,Data Engineer,132320,USD,US,0,US,M,132320
321,2022,SE,FT,Data Engineer,220110,USD,US,0,US,M,220110
322,2022,SE,FT,Data Engineer,160080,USD,US,0,US,M,160080
323,2022,SE,FT,Data Scientist,180000,USD,US,0,US,L,180000
324,2022,SE,FT,Data Scientist,120000,USD,US,0,US,L,120000
325,2022,SE,FT,Data Analyst,124190,USD,US,100,US,M,124190
326,2022,EX,FT,Data Analyst,130000,USD,US,100,US,M,130000
327,2022,EX,FT,Data Analyst,110000,USD,US,100,US,M,110000
328,2022,SE,FT,Data Analyst,170000,USD,US,100,US,M,170000
329,2022,MI,FT,Data Analyst,115500,USD,US,100,US,M,115500
